LegacyId;Datum;Operater;A1;B1;C1;A2;B2;C2;TitlePomembnoSLO;ContentPomembnoSLO;TitleNesreceSLO;ContentNesreceSLO;TitleZastojiSLO;ContentZastojiSLO;TitleVremeSLO;ContentVremeSLO;TitleOvireSLO;ContentOvireSLO;TitleDeloNaCestiSLO;ContentDeloNaCestiSLO;TitleOpozorilaSLO;ContentOpozorilaSLO;TitleMednarodneInformacijeSLO;ContentMednarodneInformacijeSLO;TitleSplosnoSLO;ContentSplosnoSLO
1471746;6/28/24 13:48;DARS Sandra Jaksetič Urbančič, PIC;NULL;"<p><strong>Nesreče</strong></p><p>Zaprta vozni in prehitevalni pas na ljubljanski vzhodni obvoznici med Zaloško in razcepom Zadobrova proti Zadobrovi, nastal je daljši zastoj.</p><p>Na <strong>štajerski avtocesti </strong>je zaprt počasni pas med Slovensko Bistrico sever in Framom proti Mariboru.</p><p>Na dolenjski avtocesti med priključkoma Višnja Gora in Grosuplje proti Ljubljani, zaprt počasni pas.</p><p><strong>Zastoji</strong></p><p><strong>Na primorski avtocesti:</strong><br>- med Ljubljano in Brezovico proti Kopru;<br>- med Postojno in Brezovico proti Ljubljani na posameznih odsekih.</p><p>Na <strong>štajerski avtocesti </strong>med Ljubljano in Domžalami proti Celju ter pred prehodom Šentilj proti Avstriji.</p><p><strong>Ljubljanska obvoznica:</strong><br>- na vzhodni proti Štajerski;<br>- na zahodni obvoznici od Kosez proti Primorski ter na južni od Viča proti Primorski;<br>- na <strong>južni obvoznici </strong>od Viča proti Dolenjski.</p><p>Na <strong>dolenjski avtocesti </strong>od Ljubljane proti Grosuplju.</p><p>Na cestah Izola - Strunjan, Logatec - Vrhnika, Lesce - Bohinjska Bela, na Bledu, v obe smeri.</p><p><strong>Ovire</strong></p><p>Okvara vozila, zaprt počasni pas na primorski avtocesti med Senožečami in Nanosom proti Ljubljani in oviran promet med Ravbarkomando in Uncem proti Ljubljani. Oviran promet na štajerski avtocesti med Polskavo in Slovensko Bistrico sever proti Ljubljani.</p><p><strong>Delo na cesti</strong></p><p>Avtoceste in hitre ceste:<br>- Na primorski avtocesti bo od 29. 6. 2024 od 6. ure zjutraj, do 30. 6. 2024 do 12. ure <strong>zaprt priključek Brezovica, izvoz iz smeri Kopra in uvoz proti Ljubljani</strong>, zaradi nujnega popravila dilatacije. Obvoz preko priključkov Vrhnika ali Vič.<br>- <strong>Predor Šentvid na gorenjski avtocesti </strong>bo proti Kranju zaprt v noči z 29. na 30. junij, od 22. do 10. ure dopoldne. Proti Ljubljani pa v noči s 6. na 7. junij, od 22. do 10. ure dopoldne.</p><p>Ostale ceste:<br>- V Ljubljani bo do ponedeljka, 1. julija, do 5. ure zaprta <strong>Dunajska cesta, med Tivolsko in Vilharjevo cesto, pri železniški postaji.</strong><br><strong>- </strong>Na cesti Podtabor - Zvirče bo eno uro zaprto križišče v Podbrezjah, v ponedeljek, 1. 7. 2024, med 9. in 14. uro.<br>- Glavna cesta <strong>Litija - Zagorje bo pri Šklendrovcu </strong>v soboto, 29. 6., zaprta od 7.30 do 17. ure.</p><p><a href=""https://www.promet.si/sl/aktualna-napoved"" target=""_blank"">Več o delovnih zaporah v prometni napovedi</a>.</p><p><strong>Tovorna vozila</strong></p><p>Omejitev prometa za tovorna vozila z največjo dovoljeno maso nad 7,5 t med 29. junijem in 8. septembrom 2024:<br>- sobote med 8. in 13. uro, na Primorskih cestah pa od 6. do 16. ure;<br>- nedelje in prazniki med 8. in 22. uro.</p><p><strong>Opozorila</strong></p><p>Na cesti Koper - Dragonja, pri Grintovcu, po asfaltiranju na cesti ostaja drobno kamenje. Zaradi varnosti je zaprt en prometni pas proti Kopru. Vozite previdno, upoštevajte omejitev hitrosti in varnostno razdaljo!</p>";NULL;;;"<div><p>Buy vignette for Slovenia online</p><p>Thererore long queues are expected in entering points from Austria to Slovenia, i.e. Karavanke tunnel (A2) and Sentilj/Spielfeld crossing (A1). Important reason for these queues is that drivers don't have vignette for Slovenian roads and have to buy them at the border. To reduce or even avoid long waiting periods drivers are strongly recommended to buy vignette for Slovenian motorways online. They can do it <a href=""https://evinjeta.dars.si/en"" target=""_blank"">here</a>.</p></div>";;;;<p>Zaprta vozni in prehitevalni pas na ljubljanski vzhodni obvoznici med Zaloško in razcepom Zadobrova proti Zadobrovi, nastal je daljši zastoj.</p><p>Na <strong>štajerski avtocesti </strong>je zaprt počasni pas med Slovensko Bistrico sever in Framom proti Mariboru.</p><p>Na dolenjski avtocesti med priključkoma Višnja Gora in Grosuplje proti Ljubljani, zaprt počasni pas.</p>;;"<p><strong>Na primorski avtocesti:</strong><br>- med Ljubljano in Brezovico proti Kopru;<br>- med Postojno in Brezovico proti Ljubljani na posameznih odsekih.</p><p>Na <strong>štajerski avtocesti </strong>med Ljubljano in Domžalami proti Celju ter pred prehodom Šentilj proti Avstriji.</p><p><strong>Ljubljanska obvoznica:</strong><br>- na vzhodni proti Štajerski;<br>- na zahodni obvoznici od Kosez proti Primorski ter na južni od Viča proti Primorski;<br>- na <strong>južni obvoznici </strong>od Viča proti Dolenjski.</p><p>Na <strong>dolenjski avtocesti </strong>od Ljubljane proti Grosuplju.</p><p>Na cestah Izola - Strunjan, Logatec - Vrhnika, Lesce - Bohinjska Bela, na Bledu, v obe smeri.</p>";;;;<p>Okvara vozila, zaprt počasni pas na primorski avtocesti med Senožečami in Nanosom proti Ljubljani in oviran promet med Ravbarkomando in Uncem proti Ljubljani. Oviran promet na štajerski avtocesti med Polskavo in Slovensko Bistrico sever proti Ljubljani.</p>;;"<p>Avtoceste in hitre ceste:<br>- Na primorski avtocesti bo od 29. 6. 2024 od 6. ure zjutraj, do 30. 6. 2024 do 12. ure <strong>zaprt priključek Brezovica, izvoz iz smeri Kopra in uvoz proti Ljubljani</strong>, zaradi nujnega popravila dilatacije. Obvoz preko priključkov Vrhnika ali Vič.<br>- <strong>Predor Šentvid na gorenjski avtocesti </strong>bo proti Kranju zaprt v noči z 29. na 30. junij, od 22. do 10. ure dopoldne. Proti Ljubljani pa v noči s 6. na 7. junij, od 22. do 10. ure dopoldne.</p><p>Ostale ceste:<br>- V Ljubljani bo do ponedeljka, 1. julija, do 5. ure zaprta <strong>Dunajska cesta, med Tivolsko in Vilharjevo cesto, pri železniški postaji.</strong><br><strong>- </strong>Na cesti Podtabor - Zvirče bo eno uro zaprto križišče v Podbrezjah, v ponedeljek, 1. 7. 2024, med 9. in 14. uro.<br>- Glavna cesta <strong>Litija - Zagorje bo pri Šklendrovcu </strong>v soboto, 29. 6., zaprta od 7.30 do 17. ure.</p><p><a href=""https://www.promet.si/sl/aktualna-napoved"" target=""_blank"">Več o delovnih zaporah v prometni napovedi</a>.</p>";;<p>Na cesti Koper - Dragonja, pri Grintovcu, po asfaltiranju na cesti ostaja drobno kamenje. Zaradi varnosti je zaprt en prometni pas proti Kopru. Vozite previdno, upoštevajte omejitev hitrosti in varnostno razdaljo!</p>;Tovorna vozila;"<p>Omejitev prometa za tovorna vozila z največjo dovoljeno maso nad 7,5 t med 29. junijem in 8. septembrom 2024:<br>- sobote med 8. in 13. uro, na Primorskih cestah pa od 6. do 16. ure;<br>- nedelje in prazniki med 8. in 22. uro.</p>";Opozorilo!;
1491417;10/11/24 9:59;DARS Barbara Janežič, PIC;NULL;"<p><strong>Ovire</strong></p><p>Na regionalni cesti Pesnica - Hoče je v pokritem vkopu Maribor proti Hočam zaprt vozni pas, poškodba predora. </p><p>Na primorski avtocesti je zaprt počasni pas med Postojno in Ravbarkomando proti Ljubljani, okvara vozila.  </p><p><strong>Delo na cesti</strong></p><p><strong>Napoved popolnih zapor:</strong><br>- <strong>Štajerska avtocesta </strong>bo zaprta med Blagovico in Vranskim proti Mariboru od danes od 20. ure, do ponedeljka do 6. ure. Na priključku Trojane bo zaprt uvoz v obe smeri.<br>-<strong> Cesta Podpeč - Brezovica</strong> bo v Notranjih Goricah zaprta od danes od 22. ure, do ponedeljka, do 5. ure.<br>- <strong>V </strong><strong>Ljubljani</strong> bo zaprta <strong>Šmartinska cesta</strong>, v podvozu pod železniško progo proti centru, od danes od 19. ure do nedelje, 13. 10. do 19. ure.<br>- <strong>Cesta čez prelaz Vršič </strong>bo zaradi del predvidoma zaprta od 15. oktobra dalje od ponedeljka do petka vsak dan med 7:30 in 17. uro.</p><p><strong>Ljubljana - Litija - Zagorje, popolne zapore:</strong><br><strong>- Litija - Zagorje ob Savi </strong>bo<strong> </strong>pri Šklendrovcu ponovno zaprta v soboto, 12. 10. 2024, od 7.30 do 17. ure.<br>- <strong>Ljubljana</strong><strong> - </strong><strong>Litija</strong><strong>,</strong> pri Beričevem, popolna zapora od danes od 20. ure, do nedelje, 13. oktobra, do 24. ure ter vsak konec tedna v oktobru.</p><p>V krožišču med avtocestnim priključkom Fram in Turnerjevo cesto v Račah bo zaradi preplastitve vozišča močno oviran promet danes od 18. ure, do sobote, 12. oktobra, do 16. ure. Promet bodo v času del ročno usmerjali. </p><p><a href=""https://www.promet.si/sl/aktualna-napoved"" target=""_blank"">Več o delovnih zaporah v prometni napovedi</a>.</p><p><strong>Opozorila</strong></p><p>Reševalne in gasilske vaje:<br>- Cesta čez prelaz Ljubelj bo zaradi reševalne vaje zaprta danes, med 13. in 21. uro.<br>- Cesta Godovič - Črni Vrh bo zaprta pri Godoviču v nedeljo, 13. oktobra, med 6. in 18. uro. </p><p><strong>Vreme</strong></p><p>Lokalna cesta Sava - Mošenik je zaprta zaradi poplavljenega vozišča. </p>";NULL;;;"<p>Buy vignette for Slovenia online</p><p>Thererore long queues are expected in entering points from Austria to Slovenia, i.e. Karavanke tunnel (A2) and Sentilj/Spielfeld crossing (A1). Important reason for these queues is that drivers don't have vignette for Slovenian roads and have to buy them at the border. To reduce or even avoid long waiting periods drivers are strongly recommended to buy vignette for Slovenian motorways online. They can do it <a href=""https://evinjeta.dars.si/en"" target=""_blank"">here</a>.</p>";;;;;;;;<p>Lokalna cesta Sava - Mošenik je zaprta zaradi poplavljenega vozišča. </p>;;<p>Na regionalni cesti Pesnica - Hoče je v pokritem vkopu Maribor proti Hočam zaprt vozni pas, poškodba predora. </p><p>Na primorski avtocesti je zaprt počasni pas med Postojno in Ravbarkomando proti Ljubljani, okvara vozila.  </p>;;"<p><strong>Napoved popolnih zapor:</strong><br>- <strong>Štajerska avtocesta </strong>bo zaprta med Blagovico in Vranskim proti Mariboru od danes od 20. ure, do ponedeljka do 6. ure. Na priključku Trojane bo zaprt uvoz v obe smeri.<br>-<strong> Cesta Podpeč - Brezovica</strong> bo v Notranjih Goricah zaprta od danes od 22. ure, do ponedeljka, do 5. ure.<br>- <strong>V </strong><strong>Ljubljani</strong> bo zaprta <strong>Šmartinska cesta</strong>, v podvozu pod železniško progo proti centru, od danes od 19. ure do nedelje, 13. 10. do 19. ure.<br>- <strong>Cesta čez prelaz Vršič </strong>bo zaradi del predvidoma zaprta od 15. oktobra dalje od ponedeljka do petka vsak dan med 7:30 in 17. uro.</p><p><strong>Ljubljana - Litija - Zagorje, popolne zapore:</strong><br><strong>- Litija - Zagorje ob Savi </strong>bo<strong> </strong>pri Šklendrovcu ponovno zaprta v soboto, 12. 10. 2024, od 7.30 do 17. ure.<br>- <strong>Ljubljana</strong><strong> - </strong><strong>Litija</strong><strong>,</strong> pri Beričevem, popolna zapora od danes od 20. ure, do nedelje, 13. oktobra, do 24. ure ter vsak konec tedna v oktobru.</p><p>V krožišču med avtocestnim priključkom Fram in Turnerjevo cesto v Račah bo zaradi preplastitve vozišča močno oviran promet danes od 18. ure, do sobote, 12. oktobra, do 16. ure. Promet bodo v času del ročno usmerjali. </p><p><a href=""https://www.promet.si/sl/aktualna-napoved"" target=""_blank"">Več o delovnih zaporah v prometni napovedi</a>.</p>";;<p>Reševalne in gasilske vaje:<br>- Cesta čez prelaz Ljubelj bo zaradi reševalne vaje zaprta danes, med 13. in 21. uro.<br>- Cesta Godovič - Črni Vrh bo zaprta pri Godoviču v nedeljo, 13. oktobra, med 6. in 18. uro. </p>;Prireditve;;Tovorna vozila;
1462371;4/30/24 16:53;DARS Nina Mesarič, PIC;NULL;"<p><strong>Nesreče</strong></p><p>Na dolenjski avtocesti je pred Višnjo Goro proti Novemu mestu zaprt prehitevalni pas. Nastaja zastoj, zamuda 15 minut.</p><p>Na dolenjski avtocesti je pred Grosupljim vzhod proti Novemu mestu zaprt prehitevalni pas. </p><p><strong>Ovire</strong></p><p>Na dolenjski avtocesti je pred Smednikom proti Obrežju oviran promet, pnevmatika.</p><p><strong>Tovorna vozila</strong></p><p><strong>Zaradi praznikov bo </strong><strong>med 8.</strong><strong> in 22. uro omejitev prometa tovornih vozil, katerih največja dovoljena masa presega 7,5 t:</strong><br>- v sredo, 1. maja;<br>- v četrtek, 2. maja.</p><p><strong>Delo na cesti</strong></p><p><strong>Ljubljana, Dunajska cesta, popolne zapore do 7. maja:</strong><br>- v noči na nedeljo med 21. in 5. uro,<br>- v noči na sredo med 21. in 5. uro.<br><br><a href=""https://www.promet.si/sl/aktualna-napoved"" target=""_blank"">Več o delovnih zaporah v prometni napovedi</a>. </p>";NULL;;;"<div><p>Buy vignette for Slovenia online</p><p>Thererore long queues are expected in entering points from Austria to Slovenia, i.e. Karavanke tunnel (A2) and Sentilj/Spielfeld crossing (A1). Important reason for these queues is that drivers don't have vignette for Slovenian roads and have to buy them at the border. To reduce or even avoid long waiting periods drivers are strongly recommended to buy vignette for Slovenian motorways online. They can do it <a href=""https://evinjeta.dars.si/en"" target=""_blank"">here</a>.</p></div>";;;;<p>Na dolenjski avtocesti je pred Višnjo Goro proti Novemu mestu zaprt prehitevalni pas. Nastaja zastoj, zamuda 15 minut.</p><p>Na dolenjski avtocesti je pred Grosupljim vzhod proti Novemu mestu zaprt prehitevalni pas. </p>;;;;;;<p>Na dolenjski avtocesti je pred Smednikom proti Obrežju oviran promet, pnevmatika.</p>;;"<p><strong>Ljubljana, Dunajska cesta, popolne zapore do 7. maja:</strong><br>- v noči na nedeljo med 21. in 5. uro,<br>- v noči na sredo med 21. in 5. uro.<br><br><a href=""https://www.promet.si/sl/aktualna-napoved"" target=""_blank"">Več o delovnih zaporah v prometni napovedi</a>. </p>";Prireditve;;;;Tovorna vozila;"<p><strong>Zaradi praznikov bo </strong><strong>med 8.</strong><strong> in 22. uro omejitev prometa tovornih vozil, katerih največja dovoljena masa presega 7,5 t:</strong><br>- v sredo, 1. maja;<br>- v četrtek, 2. maja.</p>"
